injurytime_play,mins,minsec,otherplayer,player_id,secs,team,type,competition,kickoff,match_id,loc_x,loc_y
,5,314,8088,10955,14,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,47.3,23.2
,5,340,544,8088,40,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,35.7,17.4
,6,381,8088,583,21,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,66.6,52.8
,8,485,87,20871,5,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,45.8,30.2
,13,785,15280,87,5,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,76.0,80.0
,14,893,20871,87,53,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,61.2,35.5
,16,972,20871,10955,12,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,71.7,3.0
,17,1066,0,10072,46,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,36.5,90.9
,20,1217,87,20871,17,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,39.2,20.4
,21,1295,9470,11309,35,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,43.8,81.1
,24,1487,10955,7969,47,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,89.4,86.5
,31,1877,2074,544,17,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,97.2,26.0
,34,2070,9470,15280,30,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,25.4,31.6
,38,2339,544,2074,59,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,67.3,4.2
0,41,2479,2948,12372,19,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,70.6,43.0
0,42,2554,8206,905,34,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,38.2,37.4
0,44,2666,544,12372,26,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,37.6,34.8
,45,2726,0,10504,26,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,57.6,83.2
,46,2777,10955,20871,17,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,75.2,42.6
,48,2907,8088,544,27,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,95.6,12.7
,51,3088,2074,87,28,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,93.6,28.6
,56,3412,15280,10560,52,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,59.8,75.8
,70,4216,10955,7969,16,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,68.7,95.4
,74,4442,8088,729,2,49,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,40.8,2.2
,75,4540,10955,10504,40,309,Foul,data/epl,2017-09-11 20:00:00 +0100,32934,57.4,87.6
