event,event_action_type,event_headed,event_mins,event_minsec,event_player_id,event_secs,event_team_id,event_type,gk_result,gk_result_catches,gk_result_clearances,gk_result_failed_catches,gk_result_failedclearances,gk_result_punches,gk_result_saves,gk_result_team_id,time_slice_id,time_slice_name,competition,kickoff,match_id
"2.4,49.1",Defense,false,20,1232,15004,32,309,save,,,,,,,,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,0,0,49,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,0,1,309,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
"1.4,51.5",Defense,false,25,1556,15004,56,309,save,,,,,,,,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
"2.8,50.3",Defense,,28,1731,15004,51,309,failedcatch,,,,,,,,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,0,0,49,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,1,0,0,1,309,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
"0,0",Defense,,31,1864,15004,4,309,clearance,,,,,,,,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,0,0,49,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,1,0,0,0,0,309,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
"4.4,48.7",Defense,,35,2154,15004,54,309,punch,,,,,,,,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,0,0,49,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,1,0,309,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
"4.3,50.7",Defense,false,53,3220,82,40,49,save,,,,,,,,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,0,1,49,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,0,0,309,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
"0,0",Defense,,73,4423,15004,43,309,clearance,,,,,,,,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,0,0,49,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,1,0,0,0,0,309,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
"2.4,55.5",Defense,false,79,4752,82,12,49,save,,,,,,,,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,0,1,49,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,,,,,0,0,0,0,0,0,309,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
