event,event_action_type,event_injurytime_play,event_mins,event_minsec,event_other_player,event_other_team,event_player_id,event_secs,event_type,team_id,time_slice_id,time_slice_name,competition,kickoff,match_id,loc_x,loc_y
"
            ",Attack,,0,26,925,49,10072,26,Failed,309,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,59.4,30.4
"
            ",Attack,,5,312,9470,49,8088,12,Success,309,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,38.6,88.2
"
            ",Attack,,7,451,2948,49,11309,31,Success,309,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,60.7,85.8
"
            ",Attack,,7,463,729,49,10072,43,Success,309,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,86.2,72.0
"
            ",Attack,,18,1136,11309,309,583,56,Failed,49,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,38.5,92.2
"
            ",Attack,,26,1604,12372,309,583,44,Failed,49,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,65.1,70.6
"
            ",Attack,,28,1692,2074,309,10955,12,Success,49,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,76.4,11.2
"
            ",Attack,,33,2008,15280,309,87,28,Failed,49,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,92.9,4.2
"
            ",Attack,0,40,2414,8206,309,2948,14,Success,49,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,47.6,36.2
"
            ",Attack,1,45,2806,2948,49,8088,0,Failed,309,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,48.0,78.8
"
            ",Attack,,57,3435,10955,49,10072,15,Success,309,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,40.6,38.2
"
            ",Attack,,64,3893,11309,309,1174,53,Success,49,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,35.8,86.4
"
            ",Attack,,64,3898,20871,309,10955,58,Failed,49,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,61.8,96.4
"
            ",Attack,,67,4041,544,49,10803,21,Success,309,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,72.9,92.3
"
            ",Attack,,73,4435,544,49,10803,55,Success,309,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934,29.4,78.8
"
            ",Attack,,74,4440,729,49,8088,0,Success,309,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934,59.4,98.1
"
            ",Attack,0,86,5219,544,49,10803,59,Success,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,66.1,91.6
"
            ",Attack,0,88,5317,2948,49,23637,37,Failed,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,72.0,80.8
"
            ",Attack,0,88,5326,23637,309,905,46,Failed,49,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,10.1,29.2
"
            ",Attack,1,90,5447,10955,49,10072,0,Success,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,43.2,37.7
"
            ",Attack,1,90,5645,11309,309,729,0,Success,49,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,60.1,14.5
