club_url,logo,long_name,shirt_url,short_name,state,team_color,team_id,competition,kickoff,match_id
,,West Ham United,,,,,49,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,West Ham,,,49,data/epl,2017-09-11 20:00:00 +0100,32934
,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/clubs/crest/20160726013930_west-ham_h.png,,,,,,49,data/epl,2017-09-11 20:00:00 +0100,32934
,,,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/clubs/jersey/20160726013930_west-ham_h.png,,,,49,data/epl,2017-09-11 20:00:00 +0100,32934
west-ham-united,,,,,,,49,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,home,,49,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,#982230,49,data/epl,2017-09-11 20:00:00 +0100,32934
,,Huddersfield Town,,,,,309,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,Hudd Town,,,309,data/epl,2017-09-11 20:00:00 +0100,32934
,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/clubs/crest/20131224103815_untitled-12h-s.png,,,,,,309,data/epl,2017-09-11 20:00:00 +0100,32934
,,,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/clubs/jersey/20131224103815_untitled-12h-s.png,,,,309,data/epl,2017-09-11 20:00:00 +0100,32934
huddersfield-town,,,,,,,309,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,away,,309,data/epl,2017-09-11 20:00:00 +0100,32934
,,,,,,#01d4ff,309,data/epl,2017-09-11 20:00:00 +0100,32934
